root_cause,adj,map,grp
handle input hooks using code from IPyt,handle input hooks using code from IPyt,Missing Exception Type,Unhandled Exception
Import Error,Import Error,Import Error,Import Error 
Import Wrong,Import Wrong,Import Error,Import Error 
Logic,Logic,Incorrect Logic,Incorrect Logic
Unhandling exception,Unhandling exception,Missing Exception Type,Unhandled Exception
Error msg,Error msg,Unproper Message,Unproper Message
?,?,Missing Exception Type,Unhandled Exception
Logic Except,Logic Except,Incorrect Logic,Incorrect Logic
Refactor/API Change,Refactor/API Change,Incorrect API Version,API Errors
Bare except,Bare except,Bare Except,Unhandled Exception
Message,Message,Unproper Message,Unproper Message
"Errouneous raise (erroneously raise NoSuchProcess
   on old Linux versions)",Errouneous raise (erroneously raise NoSuchProcess   on old Linux versions),Wrong Raise Type,Wrong Raise Type
Wrong raise type,Wrong raise type,Wrong Raise Type,Wrong Raise Type
Incorrect message,Incorrect message,Unproper Message,Unproper Message
Swalling Exceptions,Swalling Exceptions,Swallowing Exception,Wrong Exception Type
"Improper Messages, Imports","Improper Messages, Imports",Import Error,Import Error 
Unhandled Exception (TypeError),Unhandled Exception (TypeError),Missing Exception Type,Unhandled Exception
API,API,Incorrect API Version,API Errors
Improve Message,Improve Message,Unproper Message,Unproper Message
Python Incompatibility Errors,Python Incompatibility Errors,Python 2/3 Incompatibility Errors,Python Version Incompatibility Errors
Permission Errors (Concurrency?_),Permission Errors (Concurrency?_),Missing Exception Type,Unhandled Exception
Api Wrong Version,Api Wrong Version,Incorrect API Version,API Errors
Unchanded Exception,Unchanded Exception,Missing Exception Type,Unhandled Exception
Excternal Api Change,Excternal Api Change,API Misuse,API Errors
Incorrect Handling,Incorrect Handling,Missing Exception Type,Unhandled Exception
Incorrect raising,Incorrect raising,Wrong Raise Type,Wrong Raise Type
External Dependency,External Dependency,API Misuse,API Errors
Lack of message (error not explicity),Lack of message (error not explicity),Unproper Message,Unproper Message
Incorrect Logic with a Lack of Raising,Incorrect Logic with a Lack of Raising,Missing Exception Type,Unhandled Exception
Codification utf-8 (Incorrect Logic?),Codification utf-8 (Incorrect Logic?),Incorrect Logic,Incorrect Logic
Python Version,Python Version,Python 2/3 Incompatibility Errors,Python Version Incompatibility Errors
External API,External API,Incorrect API Version,API Errors
