,method_id,method_text
30,00cc580a-ca1a-4cc7-9fd0-5799ce24f3aa,"	public static Round parseFirstRound(Reader reader, Hashtable<String, Team> teams) throws Exception {
		Round games = new Round();
		
		CSVReader csvReader = new CSVReader(reader);
		
		List<String[]> lines; 
		try {
			lines = csvReader.readAll();
		} catch (IOException e) {
			System.out.println(""Error reading the CSV file."");
			return null;
		}
		
		for (String[] tokens : lines) {
			if (tokens.length == 1 && tokens[0].trim().length() == 0)
				continue;
			
			Team[] gameTeams = new Team[2];
			gameTeams[0] = teams.get(tokens[0]);
			gameTeams[1] = teams.get(tokens[1]);
			
			if (gameTeams[0] == null)
				throw new Exception(""Team not found: "" + tokens[0]);
			
			if (gameTeams[1] == null)
				throw new Exception(""Team not found: "" + tokens[1]);
			
			if (tokens.length >= 4) {
				gameTeams[0].seed = Integer.parseInt(tokens[2]);
				gameTeams[1].seed = Integer.parseInt(tokens[3]);
			}
			
			for (int i = 0; i < 2; i++)
				if (gameTeams[i] == null)
					throw new Exception(""Team not found: "" + tokens[i]);
			
			Game game = new Game(gameTeams);
			game.name = String.format(""R0 G%d"", games.size());
			games.add(game);		
		}
		
		return games;
	}
"
31,ee4edce8-a08e-444f-88e6-d78c4ad6b13e,"	public static Hashtable<String, CompiledStat> compileStats(Vector<Stat> stats, Collection<Team> teams) {
		
		Vector<Team> teamVector = new Vector<Team>(teams);
		Hashtable<String, CompiledStat> compiledStats = new Hashtable<String, CompiledStat>();
		
		for (Stat stat : stats) {
			double[] values = new double[teams.size()];
			for (int i = 0; i < teams.size(); i++) {
				Team team = teamVector.get(i);
				values[i] = team.getStat(stat.name);
			}
			
			compiledStats.put(stat.name, new CompiledStat(stat.name, values));
		}
		
		return compiledStats;
		
	}
"
32,1cdd3745-7fe2-46a6-9bc7-4b5c74c6c9c8,"	public Tournament(Round firstRound, Hashtable<String, CompiledStat> compiledStats, Referee scoreable) {
		
		if (md5 == null) {
			try {
				md5 = MessageDigest.getInstance(""MD5"");
			} catch (NoSuchAlgorithmException e) {
				e.printStackTrace();
			}
		}
		
		this.compiledStats = compiledStats;
		this.scoreable = scoreable;
		
		Round duplicate = new Round();
		
		for (Game game : firstRound) {
			Game dupeGame = new Game(game.teams, scoreable);
			dupeGame.name = game.name;
			duplicate.add(dupeGame);
		}
		
		rounds.add(duplicate);
		appendNextRound(duplicate);
	}
"
33,74d2df0d-4146-4fcf-9dea-4eded8d0bacb,"	public void appendNextRound(Round round) {
		Round nextRound = new Round();
		rounds.add(nextRound);
		
		int roundNumber = rounds.indexOf(nextRound);
		int gameCount = 0;
		
		for (int i = 0; i < round.size(); i += 2) {
			Game newGame = new Game();
			newGame.referee = scoreable;
			
			Game[] previousGames = new Game[] { round.get(i), round.get(i + 1) };
			for (Game previousGame : previousGames)
				previousGame.nextGame = newGame;
			
			newGame.previousGames = previousGames;
			newGame.name = String.format(""R%d G%d"", roundNumber, gameCount);
			nextRound.add(newGame);
			gameCount++;
		}
		
		
		if (nextRound.size() == 1)
			return;
		
		appendNextRound(nextRound);
	}
"
34,361efa41-2cb0-47e8-acfa-031ed5e2c944,"	public Team play() {
		return play(rounds.get(0));
	}
"
35,a5f7b88a-ebeb-4a88-9e62-24ac403cf915,"	private Team play(Round round) {
		for (Game game : round) {
			game.compiledStats = compiledStats;
			Team winner = game.play();
			
			if (round.size() == 1)
				return winner;
			
			game.nextGame.addTeam(winner);
			
		}
	
		return play(rounds.get(rounds.indexOf(round) + 1));
	}
"
36,7f1367e5-1c2c-4b6c-b203-9785d84fa17f,"	public String toPrintableString() {
		StringBuilder builder = new StringBuilder();
		
		int maxNameLength = 0;
		for (Game game : rounds.get(0)) 
			maxNameLength = Math.max(Math.max(game.teams[0].toString().length(), game.teams[1].toString().length()), maxNameLength);
		
		int columnWidth = maxNameLength + COLUMN_PADDING +
			COLUMN_PREFIX_MARGIN + COLUMN_SUFFIX_MARGIN;
		
		for (int line = 0; line < PRINT_HEIGHT; line++) {
			for (int round = 0; round < rounds.size(); round++) {
				if (round == 0)
					builder.append(teamAt(line, round, columnWidth - COLUMN_PREFIX_MARGIN));
				else
					builder.append(teamAt(line, round, columnWidth));
			}
			builder.append(""\n"");
		}
			
		return builder.toString();
	}
"
37,1b162f83-837c-4368-aed3-f7a6f48dc971,"	private String teamAt(int line, int roundNumber, int columnWidth) {
		Round round = rounds.get(roundNumber);
		Team team = null;
		String teamName = """";
		int teamScore = 0;
		
		int linesPerGame = PRINT_HEIGHT / round.size();
		int lineGame = (int)Math.floor((double)line / (double)linesPerGame);
		
		int startLine = lineGame * linesPerGame;
		int bottomGameLine = startLine + linesPerGame / 2;
		int topGameLine = bottomGameLine - 1;
		
		Game game = round.get(lineGame);
		if (line == topGameLine) {
			team = game.teams[0];
			if (roundNumber > 0)
				teamName += ""\\ "";
			teamScore = (int)game.scores[0];
		} else if (line == bottomGameLine) {
			team = round.get(lineGame).teams[1];
			if (roundNumber > 0)
				teamName += ""/ "";
			teamScore = (int)game.scores[1];
		}
		
		if (team != null) {
			teamName += team.toString();
			teamName += String.format("" - %d"", teamScore);
			if (team == game.winner) {
				teamName += "" <"";
				if (game.winner.seed > game.loser.seed)
					teamName += ""<<"";
			}
		}
		
		int end = teamName.length() == 0 ? columnWidth - EMPTY_ROW_PULL * roundNumber : columnWidth; 
		for (int i = teamName.length(); i < end; i++)
			teamName += "" "";
		
		return teamName;
	}
"
38,aa6144fc-3d7b-476d-8710-fa95bd1ae604,"	public String toSummaryString() {

		StringWriter stringWriter = new StringWriter();
		CSVWriter writer = new CSVWriter(stringWriter);
		
		String[] columns = new String[0];
		
		for (Round round : rounds) {
			for (Game game : round) {
				for (int i = 0; i < 2; i++) {
					if (columns.length == 0) {
						if (game.summaryStats.size() == 0)
							return """";
						
						columns = game.summaryStats.toArray(columns);
						writer.writeNext(columns);
					}
					
					String[] values = new String[columns.length];
					
					for (int j = 0; j < values.length; j++)
						values[j] = game.summaries[i].get(columns[j]).toString();
					
					writer.writeNext(values);
				}
			}
		}

		
		return stringWriter.toString();
				
	}
"
39,b7abf633-88f0-4da4-a291-0dddd4967f90,"	public byte[] getHash() {		
		String id = this.rounds.toString();
		return md5.digest(id.getBytes());
	}
"
40,fcf9f5cf-e8f2-435f-9f9e-0c758337200c,"	public Team getWinner() {
		return rounds.lastElement().get(0).winner;
	}
"
41,0cc2f601-98fd-4b82-a71c-e45faafdaaed,"	public CompiledStat(String name, double[] values) {
		this.name = name;
		computeStats(values);
	}
"
42,e68e9a83-13d7-42f6-9f7f-9412b0f26091,"	private void computeStats(double[] values) {
		
		double sum = 0.0;
		
		min = values[0];
		max = values[0];
		
		for (double value : values) {
			sum += value;
			min = Math.min(min, value);
			max = Math.max(max, value);
		}
		
		mean = sum / (double)values.length;
		dev = calculateDev(values);
	}
"
43,ef71bb47-3449-4a6d-b87b-aea767c16460,"	private double calculateDev(double[] values) {
		return Math.pow(calculateVar(values), 0.5);
	}
"
44,1c2bbec3-9c8c-4ccd-a403-9d2b717e94f3,"	static double calculateVar(double[] values) {
		double total = 0.0;
		double sTotal = 0.0;
		double scalar = 1.0/(double)(values.length - 1);
		
		for (int i = 0; i < values.length; i++) {
			total += values[i];
			sTotal += Math.pow(values[i], 2);
		}
		
		return (scalar * (sTotal - (Math.pow(total, 2) / values.length)));
	}	
"
45,c8cf2002-49af-4839-af24-c993830e757d,"	public String toString() {
		return name;
	}
"
46,ccc3d7da-ee1a-47f4-97b7-63f28cd0ce9e,"	public Team play() {
		referee.playGame(this);
		return winner;
	}
"
47,0e9df48f-abac-4341-b361-ac452de405ab,"	public Game() {};
"
48,e3daea68-ddc9-4e73-9640-85419546491d,"	public Game(Team[] teams) {
		this.teams = teams;
	}
"
49,2d7e7694-8332-41e4-832c-8b012c2c8573,"	public Game(Team[] teams, Referee scoreable) {
		this(teams);
		this.referee = scoreable;
	}
"
50,81636b37-2c4b-473a-ad3e-e1ae53e75fd6,"	public void addTeam(Team team) {
		for (int i = 0; i < teams.length; i++) {
			if (teams[i] == null) {
				teams[i] = team;
				return;
			}
		}
	}
"
51,f07f4d3f-0f21-4aa6-a91d-128b4ea95a1c,"	public String toString() {
		return String.format(""%s (%s vs. %s)"", name, teams[0].toString(), teams[1].toString());
	}
"
52,e8362d9f-e866-444d-bd3b-e92c495e51db,"	public static void main(String[] args) throws Exception {
		
		if (args.length < 3 || args[0].isEmpty() || args[1].isEmpty() || args[2].isEmpty()) {
			System.out.println(""Too few arguments. Required arguments: [year] [men|women] [referee class name]"");
			return;
		}
		
		if (!args[1].equals(""men"") && !args[1].equals(""women"")) {
			System.out.println(""The second argument must be 'men' or 'women'."");
			return;
		}
		
		String year = args[0];
		String sex = args[1];
		String refereeClassName = args[2];
		
		Referee referee;
		try {
			referee = (Referee) Class.forName(""bracketeer.referees."" + refereeClassName).newInstance();
		} catch (Exception ex) {
			System.out.println(""The referee class '"" + refereeClassName + ""' was not found in the package bracketeer.referees. Check your capitalization and be sure to recompile."");
			return;			
		}
		
		Vector<Stat> stats = new Vector<Stat>();
		stats.add(new Stat(""Division IWon-Lost Percentage"", ""Pct"", ""Win %""));
		stats.add(new Stat(""Division IScoring Margin"", ""PPG"", ""PPG""));
		stats.add(new Stat(""Division IScoring Margin"", ""OPP PPG"", ""OPP PPG""));
		stats.add(new Stat(""Division IScoring Margin"", ""SCR MAR"", ""SCR MAR""));
		stats.add(new Stat(""Division IRebound Margin"", ""RPG"", ""RPG""));
		stats.add(new Stat(""Division IField-Goal Percentage"", ""FG%"", ""FG%""));
		stats.add(new Stat(""Division IField-Goal Percentage"", ""FGA"", ""FGA""));
		stats.add(new Stat(""Division IField-Goal Percentage Defense"", ""OPP FG"", ""OPP FG""));
		stats.add(new Stat(""Division IField-Goal Percentage Defense"", ""OPP FGA"", ""OPP FGA""));
		stats.add(new Stat(""Division IField-Goal Percentage Defense"", ""OPP FG%"", ""OPP FG%""));
		stats.add(new Stat(""Division IPersonal Fouls Per Game"", ""PFPG"", ""PFPG""));
		stats.add(new Stat(""Division IFree-Throw Percentage"", ""FT%"", ""FT%""));
		stats.add(new Stat(""Division IFree-Throw Percentage"", ""FTA"", ""FTA""));
		stats.add(new Stat(""Division IBlocked Shots Per Game"", ""BKPG"", ""BKPG""));
		stats.add(new Stat(""Division ISteals Per Game"", ""STPG"", ""STPG""));
		stats.add(new Stat(""Division ITurnovers Per Game"", ""TOPG"", ""TOPG""));
		stats.add(new Stat(""Division ITurnover Margin"", ""Opp TO"", ""OPP TOPG""));
		stats.add(new Stat(""Division IAssists Per Game"", ""APG"", ""APG""));
		stats.add(new Stat(""Division IThree Pt FG Defense"", ""Pct"", ""OPP 3FG%""));
		stats.add(new Stat(""Division IThree-Point Field-Goal Percentage"", ""3FG%"", ""3FG%""));
		stats.add(new Stat(""Division IThree-Point Field-Goal Percentage"", ""3FGA"", ""3FGA""));
		stats.add(new Stat(""Division IThree-Point Field-Goal Percentage"", ""GM"", ""GM""));
		
		if (args[1].equals(""women"")) {
			stats.add(new Stat(""Division ITurnover Margin"", ""Margin"", ""TO RATIO""));
		} else {
			stats.add(new Stat(""Division ITurnover Margin"", ""Ratio"", ""TO RATIO""));
		}
		
		String rankingsFileName = ""seasons/"" + year + ""/rankings_"" + sex + "".csv"";
		String firstRoundFileName = ""seasons/"" + year + ""/firstround_"" + sex + "".csv"";
		String outputFileName = ""results/"" + refereeClassName + "".csv"";
		
		new File(""results"").mkdir();
		
		Hashtable<String, Team> teams = Parser.parseTeams(new FileReader(rankingsFileName), stats);
		
		Round firstRound = Parser.parseFirstRound(new FileReader(firstRoundFileName), teams);
		
		Vector<Team> firstRoundTeams = new Vector<Team>();
		
		for (Game game : firstRound) {
			firstRoundTeams.add(game.teams[0]);
			firstRoundTeams.add(game.teams[1]);
		}
		
		//Hashtable<String, CompiledStat> compiledStats = Parser.compileStats(stats, firstRoundTeams);
		
		
		
		// To play one game:
		
		Tournament t = new Tournament(firstRound, null, referee);
		t.play();
		System.out.print(t.toPrintableString());
		
		FileWriter writer = new FileWriter(outputFileName);
		writer.write(t.toSummaryString());
		writer.close();
		
		// To play many games:
		
		/*Hashtable<String, Tournament> tourneys = new Hashtable<String, Tournament>();
		
		for (int i = 0 ; i < TRIALS; i++) {
			Tournament t = new Tournament(firstRound, compiledStats, scoreable);
			Team winner = t.play();
			
			winner.wins++;
			
			tourneys.put(new String(t.getHash()), t);
		}
		
		
		Vector<Team> sortedTeams = new Vector<Team>(teams.values());
		Collections.sort(sortedTeams, new TopWins());
		
		System.out.println(""\nSample bracket from the winningest team:\n"");

		for (Tournament t : tourneys.values()) {
			if (t.getWinner() == sortedTeams.firstElement()) {
				System.out.print(t.toPrintableString());
				break;
			}
		}

		System.out.printf(""\n%d tourneys were duplicates\n\n"", TRIALS - tourneys.size());		
		System.out.println(""Wins out of "" + TRIALS + "":\n"");
		
		for (Team team : sortedTeams)
			if (team.wins > 0)
				System.out.printf(""%s: %d\n"", team.toString(), team.wins);
		*/
	}
"
53,c1004516-cd05-41f1-95b1-f4f00725c7e8,"		public int compare(Team o1, Team o2) {
			if (o1.wins > o2.wins)
				return -1;
			else if (o1.wins < o2.wins)
				return 1;
			else
				return 0;
		}
"
54,d586efa1-f8ac-4cbc-ad23-691907eff0d3,"	public Team(String name) {
		this.name = name;
	}
"
55,ce89f39d-3fc1-4051-9ff6-4d4cd4ea9c9e,"	public Team(String name, int seed) {
		this.name = name;
		this.seed = seed;
	}
"
56,79ad7982-3f07-4051-8d56-4ccbcddea060,"	public String toString() {
		if (seed >= 10)
			return String.format(""%d %s"", seed, name);
		else if (seed > 0)
			return String.format("" %d %s"", seed, name);
		else
			return name;
	}
"
57,8a7303ef-6db8-4694-9914-812afea69afa,"	public Double getStat(String stat) {
		return this.stats.get(stat);
	}
"
58,d2c62349-a16e-417f-9596-fbea4ef9ad36,"	public void playGame(Game game) {
		
		game.summaries[0] = new Hashtable<String, String>();
		game.summaries[1] = new Hashtable<String, String>();
		
		game.summaryStats.add(""Game"");
		game.summaries[0].put(""Game"", game.name);
		game.summaries[1].put(""Game"", game.name);
		
		game.summaryStats.add(""Team"");		
		
		game.summaryStats.add(""BASE PTS"");
		game.summaryStats.add(""FG BONUS"");
		game.summaryStats.add(""WIN BONUS"");
		game.summaryStats.add(""TO PTS"");
		game.summaryStats.add(""TO PTS LOST"");
		game.summaryStats.add(""PF PTS"");
		game.summaryStats.add(""RB PTS"");
		game.summaryStats.add(""BLK PTS"");
		game.summaryStats.add(""PTS"");
		
		game.scores[0] = calculateScore(game.teams[0], game.teams[1], game.compiledStats, game.summaries[0]);
		game.scores[1] = calculateScore(game.teams[1], game.teams[0], game.compiledStats, game.summaries[1]);
	
		if (game.scores[0] > game.scores[1]) {
			game.winner = game.teams[0];
			game.loser = game.teams[1];
		} else {
			game.winner = game.teams[1];
			game.loser = game.teams[0];
		}
	}
"
59,0b55f556-618e-43c2-9d10-ca5d765e9b9e,"	private Double calculateScore(Team home, Team away,
			Hashtable<String, CompiledStat> compiledStats,
			Hashtable<String, String> summary) {
		
		// Base score (30% weight)
		Double basePts = 0.4 * (0.4 * home.getStat(""PPG"") + 0.6 * away.getStat(""OPP PPG""));
		Double pts = basePts;
		
		// Shooting bonus
		Double fgBonus = basePts * home.getStat(""FG%"") * 0.01;
		pts += fgBonus;
		
		// Win bonus (10% of the base points for 100%)
		Double winBonus = 0.1 * basePts * home.getStat(""Win %"") * 0.01;
		pts += winBonus;
		
		// Turnovers (gain 2 points for each out-turnover and lose 2 the same way)
		Double turnoverLostPoints = -2.0 * (home.getStat(""TOPG"") + away.getStat(""STPG""));
		pts += turnoverLostPoints;
		
		Double turnoverGainedPoints = 2.0 * (home.getStat(""STPG"") + away.getStat(""TOPG""));
		pts += turnoverGainedPoints;
		
		// Personal fouls (gain 2 points per PF at FT%)
		Double pfPts = 2 * home.getStat(""FT%"") * 0.01 * away.getStat(""PFPG""); 
		pts += pfPts;
		
		// Rebounds (gain 2 points for each out-rebound)
		Double reboundPts = 2.0 * (home.getStat(""RPG"") - away.getStat(""RPG""));
		pts += reboundPts;
		
		// Block (gain 2 points for each out-block)
		Double blockPts = 2.0 * (home.getStat(""BKPG"") - away.getStat(""BKPG""));
		pts += blockPts;
		
		// Summarize
		summary.put(""BASE PTS"", basePts.toString());
		summary.put(""FG BONUS"", fgBonus.toString());
		summary.put(""WIN BONUS"", winBonus.toString());
		summary.put(""TO PTS"", turnoverGainedPoints.toString());
		summary.put(""TO PTS LOST"", turnoverLostPoints.toString());
		summary.put(""PF PTS"", pfPts.toString());
		summary.put(""RB PTS"", reboundPts.toString());
		summary.put(""BLK PTS"", blockPts.toString());
		summary.put(""PTS"", pts.toString());
		summary.put(""Team"", home.toString());
		
		return pts;
		
	}
"
60,801c9cc5-df5b-4173-96d8-437aa36f267a,"	private double randomAbout(double range) {
		
		double sign = (Math.random()  - 0.5);
		sign = (sign < 0 ? -1 : 1);
		
		return sign * range;
		
	}
"
61,04e3c961-f70f-460d-8882-41d147ff9449,"	private double randomRange(double start, double end) {
		return Math.random() * (end - start) + start;
	}
"
62,d4bac56b-2ab5-4042-bff8-3159905a0206,"	public void playGame(Game game) {
		game.scores[0] = calculateScore(game.teams[0], game.teams[1], game.compiledStats);
		game.scores[1] = calculateScore(game.teams[1], game.teams[0], game.compiledStats);
	
		if (game.scores[0] > game.scores[1]) {
			game.winner = game.teams[0];
			game.loser = game.teams[1];
		} else {
			game.winner = game.teams[1];
			game.loser = game.teams[0];
		}
	}
"
63,e70fcb04-5a8a-480d-ae57-ce783514a2d8,"	private double calculateScore(Team home, Team away, Hashtable<String, CompiledStat> compiledStats) {
		// Base expected score
		double baseScore = (0.5) * (1.0 * home.getStat(""PPG"") + 1.0 * away.getStat(""OPP PPG"")) / 2.0;
		double score = baseScore + randomAbout(baseScore * VARIABILITY);
				
		// Give a bonus for having wins
		double winBonus = (0.4) * (home.getStat(""Win %""));
		score += winBonus + randomAbout(winBonus * VARIABILITY);
		
		// Decrease the score by the opponent's scoring margin
		double scoringMarginMargin = away.getStat(""SCR MAR"") - home.getStat(""SCR MAR""); 
		double scoringMarginPoints = 0.7 * scoringMarginMargin + randomAbout(scoringMarginMargin * VARIABILITY); 
		score -= scoringMarginPoints;
		
		// Turnovers
		double turnoverPoints = 0.4 * (home.getStat(""TOPG"") + away.getStat(""STPG""));
		score -= turnoverPoints * randomAbout(turnoverPoints * VARIABILITY);
		
		// Personal fouls
		double pfPoints = 1.5 * home.getStat(""FT%"") * 0.01 * away.getStat(""PFPG""); 
		score += pfPoints + randomAbout(pfPoints * VARIABILITY);
		
		double reboundDiff = home.getStat(""RPG"") - away.getStat(""RPG"");
		score += 1 * reboundDiff + randomAbout(reboundDiff * VARIABILITY);
		
		double opponentBlocks = 1 * away.getStat(""BKPG"");
		score -= opponentBlocks + randomAbout(opponentBlocks * VARIABILITY);
		
		return score;
	}
"
64,49bb829f-81c7-4a13-a4df-c9c5f4ec82fd,"	private double randomAbout(double range) {
		
		double sign = (Math.random()  - 0.5);
		sign = (sign < 0 ? -1 : 1);
		
		return sign * range;
		
	}
"
65,7bb57925-2082-4b4e-93cc-75de539726a2,"	public void playGame(Game game) {

		// Potential possession outcomes:
		// Made 2FG
		// Made 3FG
		// Missed 2FG
		// Missed 3FG
		// Offensive foul
		// Defensive foul
		// Turnover
		
		TeamStatus[] status = new TeamStatus[2];
		status[0] = new TeamStatus();
		status[1] = new TeamStatus();
		
		int timeLeft = SEC_PER_GAME; // 40 minutes
		int offenseTeamIndex = _rand.nextInt(1); // Tip-off
		
		while (true) {
			if (timeLeft < 0) break;
			Team offense = game.teams[offenseTeamIndex];
			Team defense = game.teams[(offenseTeamIndex + 1) % 2];
			TeamStatus offenseStatus = status[offenseTeamIndex];
			TeamStatus defenseStatus = status[(offenseTeamIndex + 1) % 2];
			
			int possessionLength = (int)constrain(gaussian(20, 5), 5, 35);
			boolean shotMade = false;
			
			// Call a timeout if opponent has too much momentum
			if (defenseStatus.momentum > 3 && offenseStatus.timeOuts > 0) {
				offenseStatus.timeOuts--;
				offenseStatus.momentum = 1;
				defenseStatus.momentum = 1;
			}
			
			double turnoverPercent = (offense.getStat(""TOPG"") + defense.getStat(""STPG"")) / 2.0 / POSS_PER_GAME;
			if (happens(turnoverPercent)) {
				// Turnover; no shot made
				possessionLength /= 2;
				
			} else {
				// Attempt a shot
				// First determine type of shot (FG or 3FG)
				int shotTypeSum, shotTypeValue;
				if (offense.getStat(""3FGA"") == null) {
					// Force FG
					shotTypeValue = 0;
					shotTypeSum = 1;
				} else {
					shotTypeSum = offense.getStat(""FGA"").intValue() + offense.getStat(""3FGA"").intValue();
					shotTypeValue = _rand.nextInt(shotTypeSum);
				}
				
				if (shotTypeValue < offense.getStat(""FGA"")) {
					// FG attempt
					for (int i = 0; i < offenseStatus.momentum / 2; i++) {
						double shotPercent = (offense.getStat(""FG%"") + defense.getStat(""OPP FG%"")) / 2.0 / 100.0;
						if (happens(shotPercent)) {
							// FG made
							offenseStatus.points += 2;
							offenseStatus.momentum += 1;
							defenseStatus.momentum = Math.max(1, defenseStatus.momentum - 1);
							shotMade = true;
							break;
						}
					}
				} else {
					// 3FG attempt
					for (int i = 0; i < offenseStatus.momentum / 2; i++) {
						double shotPercent = (offense.getStat(""3FG%"") + defense.getStat(""OPP 3FG%"")) / 2.0 / 100.0;
						if (happens(shotPercent)) {
							// 3FG made
							offenseStatus.points += 3;
							offenseStatus.momentum += 2;
							defenseStatus.momentum = Math.max(1, defenseStatus.momentum - 1);
							shotMade = true;
							break;
						}
					}
				}
			}
			
			if (!shotMade) {
				// Decrement momentum 
				offenseStatus.momentum = Math.max(1, offenseStatus.momentum - 1);
			}
			
			timeLeft -= possessionLength;
			
			if (timeLeft <= HALFTIME && timeLeft + possessionLength >= HALFTIME) {
				// Halftime!
				offenseStatus.timeOuts = 5;
				offenseStatus.momentum = 1;
				offenseStatus.halfFouls = 0;
				defenseStatus.timeOuts = 5;
				defenseStatus.momentum = 1;
				defenseStatus.halfFouls = 0;
			}
			
			offenseTeamIndex = (offenseTeamIndex + 1) % 2;
		}
		
		game.scores[0] = status[0].points;
		game.scores[1] = status[1].points;
			
		//playPossession(timeLeft, status, startingTeam);
		
		if (game.scores[0] > game.scores[1]) {
			game.winner = game.teams[0];
			game.loser = game.teams[1];
		} else {
			game.winner = game.teams[1];
			game.loser = game.teams[0];
		}
	}
"
66,bd49039d-fe8b-42a4-b540-0fe7c4db548d,"	private double gaussian(double mean, double stdDev) {
		return _rand.nextGaussian() * stdDev + mean;
	}
"
67,316e2b8f-e376-4b5a-afcd-7315236a32f7,"	private double constrain(double value, double min, double max) {
		if (value < min) return min;
		if (value > max) return max;
		return value;
	}
"
68,87430e5d-3bbd-42fe-aa14-a6a015b4cab1,"	private boolean happens(double percent) {
		// percent ranges from 0 to 1
		return _rand.nextDouble() < percent;
	}
"
69,f12d36c7-2326-47b6-9ab8-00a370a03338,"	public void playGame(Game game);
"
